Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Pressure,Condition
2017-01-02 00:00:00,48,45,87%,VAR,2 mph,25.69 in,Fair
2017-01-01 00:00:00,46,45,93%,E,3 mph,25.69 in,Fair
2017-01-01 02:00:00,45,43,93%,CALM,0 mph,25.69 in,Fair
2017-01-01 03:00:00,45,43,93%,CALM,0 mph,25.67 in,Fair
2017-01-01 04:00:00,43,41,93%,CALM,0 mph,25.67 in,Fair
2017-01-02 05:00:00,43,41,93%,CALM,0 mph,25.67 in,Fair
2017-01-01 07:00:00,43,41,93%,ESE,3 mph,25.67 in,Fair
2017-01-01 08:00:00,43,41,93%,E,3 mph,25.72 in,Fog
2017-01-01 09:00:00,45,43,93%,CALM,0 mph,25.74 in,Fog
2017-01-01 10:00:00,48,45,87%,CALM,0 mph,25.77 in,Fog
2017-01-01 11:00:00,52,45,76%,VAR,2 mph,25.77 in,Fog
2017-01-01 12:00:00,54,45,72%,VAR,2 mph,25.74 in,Fog
2017-01-01 13:00:00,52,41,67%,SW,7 mph,25.69 in,Mostly Cloudy
2017-01-01 14:00:00,52,43,71%,VAR,2 mph,25.69 in,Mostly Cloudy
2017-01-01 15:00:00,54,43,67%,VAR,2 mph,25.67 in,Mostly Cloudy
2017-01-01 16:00:00,54,43,67%,SSE,5 mph,25.64 in,Mostly Cloudy
2017-01-01 17:00:00,54,43,67%,E,3 mph,25.67 in,Mostly Cloudy
2017-01-01 18:00:00,50,43,76%,NNE,6 mph,25.67 in,Mostly Cloudy
2017-01-01 19:00:00,50,45,82%,VAR,2 mph,25.69 in,Fair
2017-01-01 20:00:00,46,45,93%,SE,2 mph,25.69 in,Fog
2017-01-01 21:00:00,46,45,93%,CALM,0 mph,25.72 in,Fog
2017-01-01 22:00:00,45,43,93%,VAR,2 mph,25.72 in,Fog
2017-01-01 23:00:00,43,41,93%,E,3 mph,25.72 in,Fog
2017-01-03 00:00:00,41,41,100%,E,3 mph,25.72 in,Fog
2017-01-02 01:00:00,41,39,93%,E,3 mph,25.69 in,Fog
2017-01-02 02:00:00,39,39,100%,E,3 mph,25.69 in,Fog
2017-01-02 03:00:00,39,37,93%,E,3 mph,25.67 in,Fog
